fullName,organizations,location,status,typeOfDeath,startDisplay,mtpage,type,motiveConfirmed,charges
Ahmed Rilwan Abdulla,Minivan News,Maldives,Killed,Murder,"August 8, 2014",https://cpj.org/data/people/ahmed-rilwan-abdulla/,Journalist,Confirmed,
Ahmed Riyadh al-Karbouli,Baghdad TV,Iraq,Killed,Murder,"September 18, 2006",https://cpj.org/data/people/ahmed-riyadh-al-karbouli/,Journalist,Confirmed,
Ahmed Salim,Al-Sharqiya,Iraq,Killed,Murder,"September 13, 2008",https://cpj.org/data/people/ahmed-salim/,Journalist,Confirmed,
Ahmed Shawkat,Bilah Ittijah,Iraq,Killed,Murder,"October 28, 2003",https://cpj.org/data/people/ahmed-shawkat/,Journalist,Confirmed,
Ahmed Shehab,Sowt Al-Asra Radio (Radio Voice of the Prisoners),Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"October 12, 2023",https://cpj.org/data/people/ahmed-shehab/,Journalist,Confirmed,
Ahmed Wael Bakri,Al-Sharqiyah,Iraq,Killed,Crossfire,"June 28, 2005",https://cpj.org/data/people/ahmed-wael-bakri/,Journalist,Confirmed,
Ahmet Haceroğlu,Türkmeneli TV,Iraq,Killed,Crossfire,"October 21, 2016",https://cpj.org/data/people/ahmet-haceroglu/,Journalist,Confirmed,
Ahmet Taner Kislali,Cumhuriyet,Turkey,Killed,Murder,"October 21, 1999",https://cpj.org/data/people/ahmet-taner-kislali/,Journalist,Confirmed,
Aiyathurai Nadesan,Virakesari,Sri Lanka,Killed,Murder,"May 31, 2004",https://cpj.org/data/people/aiyathurai-nadesan/,Journalist,Confirmed,
Ajmal Naqshbandi,Freelance,Afghanistan,Killed,Murder,"April 8, 2007",https://cpj.org/data/people/ajmal-naqshbandi/,Journalist,Confirmed,
Akhmednabi Akhmednabiyev,Novoye Delo,Russia,Killed,Murder,"July 9, 2013",https://cpj.org/data/people/akhmednabi-akhmednabiyev/,Journalist,Confirmed,
Akram ElShafie,Safa,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"January 5, 2024",https://cpj.org/data/people/akram-elshafie/,Journalist,Confirmed,
Al-Hosseiny Abou Deif,El-Fagr,Egypt,Killed,Murder,"December 12, 2012",https://cpj.org/data/people/al-hosseiny-abou-deif/,Journalist,Confirmed,
Al-Moutaz Bellah Ibrahim,Shaam News Network,Syria,Killed,Murder,"May 4, 2014",https://cpj.org/data/people/al-moutaz-bellah-ibrahim/,Journalist,Confirmed,
Al-Shykh Al-Samany Saadaldyn Mousa Abdulla ‘Sheikho’,Freelance,Sudan,Killed,Dangerous Assignment,"May 18, 2025",https://cpj.org/data/people/al-shykh-al-samany-saadaldyn-mousa-abdulla-sheikho/,Journalist,Confirmed,
Alaa Abdel-Wahab,Al-Baghdadia TV,Iraq,Killed,Crossfire,"May 31, 2009",https://cpj.org/data/people/alaa-abdel-wahab/,Journalist,Confirmed,
Alaa Abdul-Karim al-Fartoosi,Al-Forat,Iraq,Killed,Crossfire,"January 29, 2008",https://cpj.org/data/people/alaa-abdul-karim-al-fartoosi/,Journalist,Confirmed,
Alaa Al-Hams,SND,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,"February 12, 2024",https://cpj.org/data/people/alaa-al-hams/,Journalist,Confirmed,
Alaa Edward Butros,Freelance,Iraq,Killed,Murder,"November 24, 2013",https://cpj.org/data/people/alaa-edward-butros/,Journalist,Confirmed,
Alaa Kraym (Mohammed al-Qabouni),Qaboun Media Center,Syria,Killed,Crossfire,"May 4, 2017",https://cpj.org/data/people/alaa-kraym-mohammed-al-qabouni/,Journalist,Confirmed,
Alaa Nayef al-Khader al-Khalidi,Douma Coordination Office,Syria,Killed,Unknown,"July 12, 2019",https://cpj.org/data/people/alaa-nayef-al-khader-al-khalidi/,Journalist,Confirmed,
Alaa Uldeen Aziz,ABC News,Iraq,Killed,Murder,"May 17, 2007",https://cpj.org/data/people/alaa-uldeen-aziz/,Journalist,Confirmed,
Alberto Graves Chakussanga,Radio Despertar,Angola,Killed,Murder,"September 5, 2010",https://cpj.org/data/people/alberto-graves-chakussanga/,Journalist,Confirmed,
Alberto Rivera Fernández,Frecuencia Oriental,Peru,Killed,Murder,"April 12, 2004",https://cpj.org/data/people/alberto-rivera-fernandez/,Journalist,Confirmed,
Albino Sibia (Mano Shottas),Freelance,Mozambique,Killed,Murder,"December 12, 2024",https://cpj.org/data/people/albino-sibia-mano-shottas/,Journalist,Confirmed,
Aleh Byabenin,Charter 97,Belarus,Killed,Murder,"September 3, 2010",https://cpj.org/data/people/aleh-byabenin/,Journalist,Confirmed,
Alejandro Pérez,Channel 2-Frequencia Latina TV,Peru,Killed,Murder,"June 5, 1992",https://cpj.org/data/people/alejandro-perez/,Journalist,Confirmed,
Alejandro Reblando,Manila Bulletin,Philippines,Killed,Murder,"November 23, 2009",https://cpj.org/data/people/alejandro-reblando/,Journalist,Confirmed,
Alejandro Zenón Fonseca Estrada,EXA FM,Mexico,Killed,Murder,"September 24, 2008",https://cpj.org/data/people/alejandro-zenon-fonseca-estrada/,Journalist,Confirmed,
Aleksandr Rastorguyev,The Investigations Management Centre (TsUR),Central African Republic,Killed,Murder,"July 30, 2018",https://cpj.org/data/people/aleksandr-rastorguyev/,Journalist,Confirmed,
Aleksandr Sidelnikov,Lennauchfilm Studio,Russia,Killed,Dangerous Assignment,"October 4, 1993",https://cpj.org/data/people/aleksandr-sidelnikov/,Journalist,Confirmed,
Aleksandr Smirnov,Molodyozhny Kuryer,Russia,Killed,Dangerous Assignment,"October 4, 1993",https://cpj.org/data/people/aleksandr-smirnov/,Journalist,Confirmed,
Aleksandr Yefremov,Nashe Vremya,Russia,Killed,Crossfire,"May 12, 2000",https://cpj.org/data/people/aleksandr-yefremov/,Journalist,Confirmed,
